//
// MAKE SURE YOU RUN   scripts\xlatePlayer_Created.bat before you check in.
//
// This is the list of all existing contacts in for Mission Architect. Make sure when you add new contacts that you add it to as many different lists as possible.
// You must add the translation name of the npc in this file so that it can be localized on the client. You only need to add the localization in the All category.

Category "P55916349"
	Contact Abyss						"P2762006528"
	Contact Wilson_Zucco					"P951775286"
	Contact Winston_the_Gent				"P3923917688"
	Contact Woodsman					"P1028011008"
	Contact Wounded_Vanguard				"P3448001806"
	Contact Wretch_RV					"P1910652144"
	Contact Wyatt_Anderson					"P228855090"
	Contact Yancy_Rhymes					"P4068821246"
	Contact Yolanda_Baker					"P377578943"
EndCategory

Category "P1902797650"
	Contact Abyss
	Contact Alan_Desslock
	Contact Arachnos_Bloody_Bay_Liaison
	Contact Arachnos_Holiday_05_Franco
	Contact Arachnos_Holiday_05_Gruber
	Contact Arachnos_Holiday_05_Karl
	Contact Arachnos_Pilot
	Contact Arachnos_Warburg_Liaison
	Contact Arbiter_Apolis
//	Contact Arbiter_Damico
	Contact Arbiter_Daos
	Contact Arbiter_Diaz
	Contact Arbiter_Frederick
	Contact Arbiter_Friesen
	Contact Arbiter_Hayes
	Contact Arbiter_Howe
	Contact Arbiter_Leery
	Contact Arbiter_Lupin
	Contact Arbiter_Orr
	Contact Arbiter_Rein
	Contact Arbiter_Richard
	Contact Arbiter_Richardson
	Contact Arbiter_Unger
	Contact Black_Scorpion
	Contact Brick_Johnson
	Contact Captain_Mako
	Contact Crimson_Revenant
	Contact Fortunata_Hamilton
	Contact Ghost_Widow
	Contact Ice_Mistral
	Contact Kalinda
	Contact Lord_Recluse
	Contact Marco
	Contact Malaise
	Contact Marshal_Brass
	Contact Operative_Caderma
	Contact Operative_Grillo
	Contact Operative_Kirkland
	Contact Operative_Renault
	Contact Operative_Rutger
	Contact Operative_Vargas
	Contact Operative_Wellman
	Contact Pither
	Contact RecluseVictory_AlternateDoor_ArachnosGuy
	Contact RecluseVictory_AlternateDoor_LongbowGuy
	Contact Regent_Korol
	Contact Scirocco
	Contact Seer_Marino
	Contact Shadow_Spider
	Contact Silver_Mantis
	Contact Silver_Mantis_RV
	Contact Veluta_Lunata
	Contact Vernon_Von_Grun
	Contact Viridian
	Contact Wretch_RV
	Contact Warzone_Operative_Braun
	Contact Warzone_Operative_Massey
	Contact Warzone_Operative_Oudot
EndCategory

Category "P2628213080"
	Contact Cimerora_Antonia_Severa
	Contact Cimerora_Atticus
	Contact Cimerora_Brutticus_Aurelius
	Contact Cimerora_Julia_Pria
	Contact Cimerora_Old_Woman
	Contact Daedalus
	Contact Imperious
	Contact Marcus_Valerius
	Contact Senator_Aquila
	Contact Sister_Airlia
EndCategory

Category "P141653750"
	Contact IconEmployee_City_02_01a
	Contact IconEmployee_City_02_01b
	Contact IconEmployee_City_02_01c
	Contact IconEmployee_City_03_02d
	Contact IconEmployee_City_03_02e
	Contact IconEmployee_City_03_02f
	Contact IconEmployee_City_04_01g
	Contact IconEmployee_City_04_01h
	Contact IconEmployee_City_04_01i
	Contact IconEmployee1
	Contact IconEmployee2
	Contact IconEmployee3
	Contact v_FaceEmployee_V_City_02_01a
	Contact FaceEmployee1
	Contact FaceEmployee2
	Contact FaceEmployee3
EndCategory

Category "P1344310001"
	Contact Aurora_Borealis
	Contact Back_Alley_Brawler
	Contact Bastion
	Contact Detective_Wright
	Contact Foreshadow
	Contact Infernal
	Contact Jim_Temblor
	Contact Luminary
	Contact Manticore
	Contact Mynx
	Contact Mirror_Spirit
	Contact Ms_Liberty_RV
	Contact Numina
	Contact Penelope_Yin
	Contact Positron
	Contact Ravenstorm
	Contact Serafina
	Contact Statesman_Old
	Contact Sister_Psyche
	Contact Swan_RV
	Contact Synapse
	Contact Valkyrie
	Contact War_Witch
	Contact Woodsman
EndCategory

Category "P1463370880"
	Contact David_Wincott
	Contact Detective_Bauer
	Contact Detective_Bullitt
	Contact Detective_Calahan
	Contact Detective_Cooper
	Contact Detective_Davids
	Contact Detective_Deckard
	Contact Detective_Fish
	Contact Detective_Fraser
	Contact Detective_Friday
	Contact Detective_Hooker
	Contact Detective_Hutchinson
	Contact Jose_Brogan
	Contact Detective_Magnum
	Contact Detective_Martins
	Contact Detective_McDallas
	Contact Detective_McGarret
	Contact Detective_Miller
	Contact Detective_Murphy
	Contact Detective_Rico
	Contact Detective_Rogers
	Contact Detective_Serpico
	Contact Detective_Sonny
	Contact Detective_Streebeck
	Contact Detective_Truman
	Contact Detective_Vecchio
	Contact Flux
	Contact Gordon_Stacy
	Contact Lt_MacReady
	Contact Meg_Mason
	Contact Officer_Flint
//	Contact Officer_Friday
	Contact Officer_Parks
	Contact Paragon_SWAT
	Contact Sergeant_Hicks
	Contact Sgt_Suzanne_Bernhard
	Contact Tavish_Bell
	Contact Vic_Johansson
EndCategory

Category "P12711891"
	Contact Agent_G
	Contact Agent_Wallace
	Contact Jack_Wolfe
	Contact FreedomCorp_City_01_01
	Contact FreedomCorp_City_01_01b
	Contact FreedomCorp_City_01_01c
	Contact FreedomCorp_City_01_03b
	Contact FreedomCorp_City_01_03c
	Contact FreedomCorp_City_02_01
	Contact FreedomCorp_City_02_01b
	Contact FreedomCorp_City_02_01c
	Contact FreedomCorp_City_02_02
	Contact FreedomCorp_City_02_02c
	Contact FreedomCorp_City_03_01
	Contact FreedomCorp_City_03_01c
	Contact FreedomCorp_Store_V_PvP_05_01
	Contact Longbow_Bloody_Bay_Liaison
	Contact Longbow_Holiday_05_Davis
	Contact Longbow_Holiday_05_McClane
	Contact Longbow_Holiday_05_Wallace
	Contact Longbow_Warburg_Liaison
	Contact Warzone_Agent_Brinson
	Contact Warzone_Agent_Eckman
	Contact Warzone_Agent_Goddard
EndCategory

Category "P3368535594"
	Contact Allison_King
	Contact Andrea_Mitchell
	Contact Archmage_Tarixus
	Contact Azuria
	Contact Cadao_Kestrel
	Contact Cain_Royce
	Contact Crash_Cage
	Contact Diviner_Maros
	Contact Doc_Delilah
	Contact Dr_Cheng
	Contact Dr_Trevor_Seaborn
	Contact Genevieve_Sanders
	Contact Gregor_Richardson
	Contact Haley_Philips
	Contact Hardcase
	Contact Harvey_Maylor
	Contact Hugo_Redding
	Contact Joesef_Keller
	Contact Johnny_Sonata
	Contact Kelly_Nemmers
	Contact Kong_Bao
	Contact Laura_Brunetti
	Contact Laurence_Mansfield
	Contact Miriam_Bloechl
	Contact Madeleine_Casey
	Contact Oliver_Haak
	Contact Paco_Sanchez
	Contact Peter_Stemitz
	Contact Piper_Irving
	Contact Skipper_LeGrange
	Contact Stephanie_Peebles
	Contact Talshak_the_Mystic
	Contact Thao_Ku
	Contact Virginia_Hoffman
	Contact Vitaly_Cherenko
EndCategory

Category "P4163120957"
	Contact Ashley_McKnight
	Contact Buck_Salinger
	Contact Hinckley_Rasmussen
	Contact Montague_Castanella
	Contact Percy_Winkley
	Contact Midnighter_Coop_02_01
	Contact Midnighter_Greeter
	Contact MidnighterQuartermaster_01
	Contact Latin_Student
EndCategory

Category "P3057588896"
	Contact Amanda_Loomis
	Contact Ann-Marie_Engles
	Contact Antonio_Nash
	Contact Ashwin_Lannister
	Contact Colleen_Nelson
	Contact Crimson
	Contact Dennis_Ewell
	Contact Indigo
	Contact Jezebel_Jones
	Contact Jim_Bell
	Contact Jose_Escalante
	Contact Juan_Jimenez
	Contact Juliana_Nehring
	Contact Lars_Hansen
	Contact Laurie_Pennington
	Contact Linda_Summers
	Contact Lt_Chalmers
	Contact Merisel_Valenzuela
	Contact Olivia_Chung
	Contact Pavel_Garnier
	Contact Ron_Hughes
	Contact Sanjay_Chandra
	Contact Tyler_French
	Contact Vivacious_Verandi
	Contact Wilson_Zucco
EndCategory

Category "P1976881327"
	Contact Agent_Six
	Contact Barry_Gosford
	Contact Basse_Croupier
	Contact Cho_Ge
	Contact Christine_Lansdale
	Contact Derek_Amberson
	Contact Hard_Luck
	Contact John_Strobel
	Contact Justin_Greene
	Contact Karen_Parker
	Contact Lorenz_Ansaldo
	Contact Lorenzo_DiCosta
	Contact Oswald_Cuthbert
	Contact Phillipa_Meraux
	Contact Rachel_Torres
	Contact Rondel_Jackson
	Contact Sunstorm
	Contact Susan_Davies
	Contact Tina_Macintyre
	Contact Unai_Kemen
	Contact Vince_Dubrowski
	Contact Warren_Trudeau
	Contact Wes_Schnabel
	Contact Westin_Phipps
	Contact Willy_Starbuck
	Contact Wilson_Eziquerra
EndCategory

Category "P4055711772"
	Contact Notoriety_Contact_CapAuDiable
	Contact NotorietyContact10
	Contact NotorietyContact11
	Contact NotorietyContact2
	Contact NotorietyContact3
	Contact NotorietyContact4
	Contact NotorietyContact5
	Contact NotorietyContact6
	Contact NotorietyContact7
	Contact NotorietyContact8
	Contact NotorietyContact9
EndCategory

Category "P2108159343"
	Contact Ouroboros_Heroes
	Contact Lockers
	Contact Medicine_Cabinet
	Contact The_Radio
	Contact Slot_Machine
	Contact Television
EndCategory

Category "P2104234921"
	Contact Mender_Lazarus
	Contact Mender_Silos
	Contact Mender_Tesseract
	Contact Ouroboros_Heroes
	Contact OuroborosStore_01
	Contact Pilgrim
	Contact TwilightsSon
EndCategory

Category "P2521648541"
	Contact Pocket_D_Info
	Contact Father_Time
	Contact PocketD_Arachnos_Wall_Lean_Guy
	Contact PocketD_Bartender_Bob
	Contact PocketD_Bartender_Carl
	Contact PocketD_Bartender_Isaac
	Contact PocketD_Bartender_Sam
	Contact PocketD_Bouncer_Faultline
	Contact PocketD_Bouncer_Founders
	Contact PocketD_Bouncer_Hero_Only
	Contact PocketD_Bouncer_KingsRow
	Contact PocketD_Bouncer_PortOakes
	Contact PocketD_Bouncer_Sharkhead
	Contact PocketD_Bouncer_StMartial
	Contact PocketD_Bouncer_Talos
	Contact PocketD_Bouncer_Villain
	Contact PocketD_CandyKeeper
	Contact PocketD_Council_Wall_Leaner
	Contact PocketD_Desperate_Guy
	Contact Event_Spring_06_DJ_Zero
	Contact Event_Spring_06_Hero_Contact
	Contact Event_Spring_06_Hero_Vendor
	Contact Event_Spring_06_Villain_Contact
	Contact Event_Spring_06_Villain_Vendor
	Contact PocketD_Freedom_Leaner
	Contact PocketD_Hero_Hostess
	Contact PocketD_Just_Some_Guy
	Contact PocketD_Old_Rave_Bum
	Contact PocketD_Raver_Girl_A
	Contact PocketD_Raver_Girl_B
	Contact PocketD_Raver_Girl_C
	Contact PocketD_Raver_Guy_A
	Contact PocketD_Raver_Guy_B
	Contact PocketD_Raver_Guy_C
	Contact PocketD_Villain_Hostess
EndCategory

Category "P3006588921"
	Contact Akiro_Musashi
	Contact Angel_Lopez
	Contact Blake
	Contact Caze
	Contact HT
	Contact Jimmy_Dortz
	Contact Morben
	Contact Mr_Verde
EndCategory

Category "P2829715508"
	Contact Colleen_Saramago
	Contact Eliza_Thorpe
	Contact Georgia_Fields
	Contact Ginger_Yates
	Contact Henry_Peter_Wong
	Contact Holsten_Armitage
	Contact Jake_Montoya
	Contact Janet_Kellum
	Contact Jenny_Firkins
	Contact Jill_Pastor
	Contact Jonathan_Smythe
	Contact Justine_Kelly
	Contact Kelly_Uqua
	Contact Kevin_Cordell
	Contact Kip_Cantorum
	Contact Kirsten_Woods
	Contact Kyle_Peck
	Contact Lorenzo_Tate
	Contact Lou_Pasterelli
	Contact Lt_Demitrovich
	Contact Melanie_Peebles
	Contact Polly_Cooper
	Contact Rebecca_Brinell
	Contact Samuel_Pierce
	Contact Shadowstar
	Contact Timothy_Raymond
	Contact Tristan_Caine
	Contact Wyatt_Anderson
EndCategory

Category "P3527178746"
	Contact TheConduit
	Contact MrYinStore
	Contact ArenaStore_01
	Contact ArenaStore_02
	Contact ArenaStore_03
	Contact ArenaStore_04
	Contact ArenaStore_05
	Contact ArenaStore_06
	Contact ArenaStore_07
	Contact ArenaStore_08
	Contact ArenaStore_09
	Contact Magic_City_02_01
	Contact Magic_City_02_01b
	Contact Magic_City_02_01c
	Contact Magic_City_02_02
	Contact Magic_City_02_02b
	Contact Magic_City_02_02c
	Contact Magic_City_03_01
	Contact Magic_City_03_01b
	Contact Magic_City_03_01c
	Contact Magic_City_03_02
	Contact Magic_City_03_02b
	Contact Magic_City_03_02c
	Contact Mutant_City_02_01
	Contact Mutant_City_02_01b
	Contact Mutant_City_02_01c
	Contact Mutant_City_02_02
	Contact Mutant_City_02_02b
	Contact Mutant_City_02_02c
	Contact Mutant_City_03_01
	Contact Mutant_City_03_01b
	Contact Mutant_City_03_01c
	Contact Mutant_City_03_02
	Contact Mutant_City_03_02b
	Contact Mutant_City_03_02c
	Contact Natural_City_02_01
	Contact Natural_City_02_01b
	Contact Natural_City_02_01c
	Contact Natural_City_02_02
	Contact Natural_City_02_02b
	Contact Natural_City_02_02c
	Contact Natural_City_03_01
	Contact Natural_City_03_01b
	Contact Natural_City_03_01c
	Contact Natural_City_03_02
	Contact Natural_City_03_02b
	Contact Natural_City_03_02c
	Contact Science_City_02_01
	Contact Science_City_02_01b
	Contact Science_City_02_01c
	Contact Science_City_02_02
	Contact Science_City_02_02b
	Contact Science_City_02_02c
	Contact Science_City_03_01
	Contact Science_City_03_01b
	Contact Science_City_03_01c
	Contact Science_City_03_02
	Contact Science_City_03_02b
	Contact Science_City_03_02c
	Contact Tech_City_02_01
	Contact Tech_City_02_01b
	Contact Tech_City_02_01c
	Contact Tech_City_02_02
	Contact Tech_City_02_02b
	Contact Tech_City_02_02c
	Contact Tech_City_03_01
	Contact Tech_City_03_01b
	Contact Tech_City_03_01c
	Contact Tech_City_03_02
	Contact Tech_City_03_02b
	Contact Tech_City_03_02c
	Contact BlackMarket_Mercy_Female
	Contact BlackMarket_Mercy_Male
	Contact BlackMarket_Sharkhead_Female
	Contact BlackMarket_Sharkhead_Male
	Contact BlackMarket_StMartial_Female
	Contact BlackMarket_StMartial_Male
	Contact Wentworth_Atlas_Female_1
	Contact Wentworth_Atlas_Female_2
	Contact Wentworth_Atlas_Male_1
	Contact Wentworth_Atlas_Male_2
	Contact Wentworth_Kings_Female_1
	Contact Wentworth_Kings_Female_2
	Contact Wentworth_Kings_Male_1
	Contact Wentworth_Kings_Male_2
	Contact Wentworth_Steel_Female_1
	Contact Wentworth_Steel_Female_2
	Contact Wentworth_Steel_Male_1
	Contact Wentworth_Steel_Male_2
	Contact Wentworth_Talos_Female_1
	Contact Wentworth_Talos_Female_2
	Contact Wentworth_Talos_Male_1
	Contact Wentworth_Talos_Male_2
EndCategory

Category "P3141423517"
	Contact Andrew_Fiore
	Contact Anton_Sampson
	Contact Athena_Currie
	Contact Caitlin_Murray
	Contact Captain_Petrovich
	Contact Carla_Brunelli
	Contact Claire_Childress
	Contact Collin_Larson
	Contact Doc_Buzzsaw
	Contact Everett_Daniels
	Contact Fareed_Abdullah
	Contact Guy_Denson
	Contact Henri_Dumont
	Contact Jake_Kim
	Contact Kristof_Jaeger
	Contact Lt_Col_Hugh_McDougal
	Contact Maxwell_Christopher
	Contact Neal_Kendrick
	Contact Number_204
	Contact Paula_Dempsey
	Contact Rick_Davies
	Contact Technician_Naylor
	Contact Tina_Chung
	Contact Tom_Bowden
	Contact Tony_Kord
	Contact Vic_Garland
	Contact Wilma_Peterson
EndCategory

Category "P4012344892"
	Contact Admissions_Lenk
	Contact Activist_UniversityCap
	Contact Charles_Ball
	Contact Counselor_Pires
	Contact Dean_Yu
	Contact James_Bright
	Contact Janitor
	Contact Kevin_Gilett
	Contact Pledge_UniversitySteel
	Contact Professor_Boram
	Contact Professor_Chandler
	Contact Professor_Hoffman
	Contact Professor_Taylor
	Contact Professor_Topffer
EndCategory

Category "P2154096770"
	Contact Borea
	Contact Dark_Watcher
	Contact Gaussian
	Contact Lady_Grey
	Contact Levantera
	Contact Serpent_Drummer
	Contact VanguardQuartermaster_01
	Contact VanguardQuartermaster_02
	Contact Wounded_Vanguard
EndCategory

Category "P412686884"
	Contact Alexander
	Contact Alfonse_Rubel
	Contact Ambassador_KuhrRekt
	Contact Andre_Jimenez
	Contact Angelo_Vendetti
	Contact Angus_McQueen
	Contact Annie_Coults
	Contact Atlas_Newsie
	Contact AtlasPark_PortalRoom_SystemsGo
	Contact Betty_Abbot
	Contact Billie_Heck
	Contact Boris_the_Russian
	Contact Carlos_Herrera
	Contact Castaway_Chuck
	Contact Charlie_Sparks
	Contact City_Representative
	Contact Clarence_Jackson
	Contact Colonel_Barry_Woodhouse
	Contact Corey_McCann
	Contact DannyLin
	Contact Darla_Mavis
	Contact Darrin_Wade
	Contact Desdemona_the_Glint
	Contact Dmitri_Krylov
	Contact Doctor_Creed
	Contact Doctor_Miller
	Contact Dr_Boyd
	Contact Dr_Forrester
	Contact Dr_Huxley
	Contact Dr_Quaterfield
	Contact Dr_Scott_Wachhorst
	Contact Dr_Shelly_Percey
	Contact Drea_the_Hook
	Contact Ernesto_Hess
	Contact Evan_DiTomasso
//	Contact Faathim_The_Kind
	Contact General_Hammond
	Contact Ghost_Falcon
	Contact Golden_Roller
	Contact Gordon_Bower
	Contact Hiro_Takashi
	Contact Ian_the_Shark
	Contact Iris_Parker
	Contact Isabel_the_Knife
	Contact Janelle_Irving
	Contact Jerry_Kazatsky
	Contact Jesse_Hobart
	Contact John_Townsend
	Contact Joshua_Stutz
	Contact Julius_the_Troll
	Contact Justin_Augustine
	Contact Kallarn
	Contact Kara_the_Scorpion
	Contact Karl_Bolger
	Contact Karsis
	Contact Katie_Hannon
	Contact Kira_Lange
	Contact Kiros_Nandelu
	Contact Long_Jack
	Contact Lt_Col_Flynn
	Contact Lt_Volkov
	Contact Mage_Killer_Zuhkara
	Contact Maggie_Greene
	Contact Magus_MuDrakhan
	Contact Manuel_Ruiz
	Contact Maria_Jenkins
	Contact Mark_Freeman
	Contact Mark_IV
	Contact Marvin_Weintraub
	Contact Matthew_Burke
	Contact Maurice_Feldon
	Contact Maxwell_Christopher
	Contact Mickey_the_Filch
	Contact Mikey_the_Ear
	Contact Mongoose
	Contact Moonfire
	Contact Mr_Bocor
	Contact Nameless_Mystic
	Contact NatalieAlexander
	Contact NorbertPittman
	Contact Oakes_Blueprints
	Contact Penny_Preston
	Contact Peter_Themari
	Contact PortOakes_Canada_Joe
	Contact Psimon_Omega
//	Contact PvPVillainContact
	Contact Ractespriel
	Contact RhondaJames
	Contact Rikti_Argot'BurWot
	Contact RMKF_Cornelius
	Contact RMKF_Family_Chatter
	Contact RMKF_Family1
	Contact RMKF_Joe_Young
	Contact Robert_Koslowski
	Contact RonaldKincade
	Contact RWZ_Crasher
	Contact Samuel_OReilly
	Contact Sara_Moore
	Contact Sarah_Juarez
	Contact Sarah_Peters
	Contact Sela_Vermont
	Contact Sgt_Goddard
	Contact Shadowy_Figure
	Contact Shelly_Knowles
	Contact Skyway_CityPlannerA
	Contact Skyway_CityPlannerB
	Contact Slarrah
	Contact Sound_Technician_A
	Contact Sound_Technician_B
	Contact Sparcetriel
	Contact Stella_the_Mouth
	Contact Steven_Sheridan
	Contact SuperGroupRegistrar
	Contact Terrence_Dobbs
	Contact The_Can_Man
	Contact Tobias_Hansen
	Contact Trepsarciel
	Contact Turndown_Girl_A
	Contact Tutorial_Nurse
	Contact Virgil_Tarikoss
	Contact Wanda_Travis
	Contact Wendy_Klein
	Contact Wiggy_the_Brit
	Contact Willy_Wheeler
	Contact Winston_the_Gent
	Contact Yancy_Rhymes
	Contact Yolanda_Baker
EndCategory
